team,season,games_played,xgf_pg,xga_pg,gf_pg,ga_pg
ANA,2017,82,2.862195121951219,2.9207317073170733,2.817073170731707,2.548780487804878
ARI,2017,82,2.7593902439024394,3.197926829268293,2.5121951219512195,3.0609756097560976
BOS,2017,82,3.083048780487805,2.6239024390243904,3.2560975609756095,2.573170731707317
BUF,2017,82,2.523048780487805,3.0985365853658537,2.4146341463414633,3.3902439024390243
CAR,2017,82,3.1339024390243906,2.611341463414634,2.7439024390243905,3.0853658536585367
CBJ,2017,82,2.9450000000000003,2.895731707317073,2.8780487804878048,2.7560975609756095
CGY,2017,82,3.197682926829268,2.9450000000000003,2.6341463414634148,2.9634146341463414
CHI,2017,82,2.9448780487804878,3.0146341463414634,2.7804878048780486,3.097560975609756
COL,2017,82,2.6403658536585364,2.8602439024390245,3.1097560975609757,2.8780487804878048
DAL,2017,82,2.8529268292682928,2.6402439024390243,2.817073170731707,2.707317073170732
DET,2017,82,2.6458536585365855,2.9590243902439024,2.5853658536585367,3.097560975609756
EDM,2017,82,3.04,3.0858536585365854,2.792682926829268,3.1951219512195124
FLA,2017,82,3.022439024390244,3.057439024390244,2.9878048780487805,2.9634146341463414
LAK,2017,82,2.7042682926829267,2.8982926829268294,2.8902439024390243,2.4634146341463414
MIN,2017,82,2.9285365853658534,2.59,3.048780487804878,2.792682926829268
MTL,2017,82,2.9517073170731707,2.9671951219512196,2.524390243902439,3.1463414634146343
NJD,2017,82,2.7571951219512196,2.7750000000000004,2.9634146341463414,2.926829268292683
NSH,2017,82,2.9165853658536585,2.8053658536585364,3.182926829268293,2.4878048780487805
NYI,2017,82,2.785853658536585,3.1685365853658536,3.182926829268293,3.573170731707317
NYR,2017,82,2.736951219512195,3.064878048780488,2.7804878048780486,3.207317073170732
OTT,2017,82,2.5301219512195123,3.0834146341463415,2.6707317073170733,3.4634146341463414
PHI,2017,82,3.0764634146341465,2.8603658536585366,3.0365853658536586,2.8780487804878048
PIT,2017,82,3.0940243902439026,2.91109756097561,3.292682926829268,3.024390243902439
SJS,2017,82,2.95,2.6886585365853657,3.0121951219512195,2.7560975609756095
